p,x,y,w,t,p
p,f,s,n,t,p
p,x,y,w,t,p
p,x,y,n,t,p
p,x,y,w,t,p
p,x,s,n,t,p
p,x,s,n,t,p
p,x,s,w,t,p
p,x,y,w,t,p
p,x,s,n,t,p
p,x,y,w,t,p
p,x,s,n,t,p
p,x,s,w,t,p
p,x,y,n,t,p
p,x,y,w,t,p
p,x,y,n,t,p
p,x,s,n,t,p
p,x,y,n,t,p
p,x,y,n,t,p
p,x,s,n,t,p
p,x,s,n,t,p
p,x,y,n,t,p
p,x,s,w,t,p
p,x,y,w,t,p
p,x,y,w,t,p
e,x,f,w,f,n
e,b,s,w,f,n
e,k,s,w,f,n
e,b,f,w,f,n
e,f,s,n,f,n
e,f,s,n,f,n
e,k,f,w,f,n
e,b,f,g,f,n
e,b,s,n,f,n
e,f,s,n,f,n
e,x,s,g,f,n
e,f,y,c,t,n
e,b,s,n,f,n
e,b,f,g,f,n
e,b,f,w,f,n
e,x,s,w,f,n
e,x,s,w,f,n
e,k,s,n,f,n
e,k,s,n,f,n
e,k,s,n,f,n
e,k,f,w,f,n
e,b,s,n,f,n
e,f,s,n,f,n
e,f,y,n,f,n
e,f,s,g,t,n
