e,x,s,y,t,a
e,b,s,w,t,l
e,x,s,g,f,n
e,x,y,y,t,a
e,b,s,w,t,a
e,b,y,w,t,l
e,b,s,y,t,a
e,x,y,y,t,l
e,x,y,y,t,a
e,b,s,y,t,a
e,x,f,n,f,n
e,s,f,g,f,n
e,f,f,w,f,n
e,b,s,y,t,a
e,b,y,y,t,l
e,b,y,w,t,a
e,b,s,w,t,l
e,x,y,y,t,a
e,x,y,w,t,l
e,f,f,n,f,n
e,x,s,y,t,a
e,b,s,y,t,l
e,x,y,y,t,l
e,x,y,n,t,l
e,b,y,y,t,l
e,x,f,y,t,l
e,s,f,g,f,n
e,x,f,y,t,a
e,b,s,y,t,l
e,b,y,y,t,a
e,x,y,y,t,l
e,x,f,n,f,n
e,x,s,y,t,a
e,x,y,w,t,a
e,x,y,y,t,l
e,x,s,w,t,l
e,x,y,y,t,l
e,f,y,y,t,l
e,x,y,n,t,a
e,x,s,w,t,l
e,b,s,w,t,l
e,b,y,y,t,a
e,f,f,g,f,n
e,b,s,w,t,a
e,x,s,y,t,l
e,x,y,n,t,a
e,s,f,g,f,n
e,b,y,y,t,a
e,b,s,y,t,l
e,b,y,y,t,l
p,x,s,n,t,p
p,x,y,w,t,p
p,x,y,w,t,p
p,x,y,w,t,p
p,x,s,n,t,p
p,x,y,w,t,p
p,x,s,n,t,p
p,x,y,n,t,p
p,f,s,w,t,p
p,x,y,w,t,p
p,x,y,n,t,p
p,x,y,w,t,p
p,x,y,n,t,p
p,x,s,w,t,p
p,x,y,n,t,p
p,x,y,w,t,p
p,x,y,w,t,p
p,x,s,w,t,p
p,f,y,n,t,p
p,x,y,w,t,p
p,x,s,n,t,p
p,x,y,w,t,p
p,x,y,w,t,p
p,x,s,w,t,p
p,x,s,w,t,p
p,x,y,n,t,p
p,x,y,w,t,p
p,x,s,w,t,p
p,x,s,n,t,p
p,x,y,w,t,p
p,f,y,n,t,p
p,f,s,n,t,p
p,x,y,w,t,p
p,x,y,w,t,p
p,x,y,w,t,p
p,x,y,w,t,p
p,x,y,n,t,p
p,x,y,n,t,p
p,x,y,n,t,p
p,x,y,n,t,p
p,x,s,n,t,p
p,x,s,n,t,p
p,x,y,n,t,p
p,x,y,n,t,p
p,x,s,n,t,p
p,x,y,n,t,p
p,f,s,n,t,p
p,x,s,n,t,p
p,x,s,n,t,p
p,x,s,n,t,p
